link,upload,duration,views,likes,comments,resend,saves,description
https://www.tiktok.com/@ness_opo/video/7289848603193920774,2023-10-14 19:15:45,60,6426,428,4,2,56,#🎧 #NesS🎧🎵 #ness_opo #bassboosong #headphones #aveeplayer #อย่าปิดการมองเห็น #slowed #phonk #top 
https://www.tiktok.com/@ness_opo/video/7289791502962658566,2023-10-14 15:34:10,49,6973,294,1,0,51,#🎧 #NesS🎧🎵 #ness_opo #bassboosong #headphones #aveeplayer #อย่าปิดการมองเห็น #slowed #phonk #top 
https://www.tiktok.com/@ness_opo/video/7289067975141821702,2023-10-12 16:46:31,47,660,48,1,0,9,
https://www.tiktok.com/@ness_opo/video/7289064966366203141,2023-10-12 16:34:50,98,577,32,2,0,4,
https://www.tiktok.com/@ness_opo/video/7289060305148054790,2023-10-12 16:16:45,60,62100,4130,3,13,524,โดนปิดเสียงเยอะจังเลยเดี๋ยวนี้#🎧 #NesS🎧🎵 #ness_opo #bassboosong #headphones #aveeplayer #อย่าปิดการมองเห็น #slowed #phonk #top 
https://www.tiktok.com/@ness_opo/video/7289034762071674118,2023-10-12 14:37:38,62,4940,240,5,2,22,เข้าเกมแปป#🎧 #NesS🎧🎵 #ness_opo #bassboosong #headphones #headphones #aveeplayer #อย่าปิดการมองเห็น #slowed #phonk #top 
https://www.tiktok.com/@ness_opo/video/7288700860027194629,2023-10-11 17:01:56,80,6231,355,0,1,48,#top #phonk #slowed #อย่าปิดการมองเห็น #aveeplayer #headphones #bassboosong #ness_opo #NesS🎧🎵 #🎧 
https://www.tiktok.com/@ness_opo/video/7288372102816632070,2023-10-10 19:46:10,55,1100,90,0,0,16,ตอบกลับ @ness_opo #🎧 #NesS🎧🎵 #ness_opo #bassboosong #headphones #aveeplayer #อย่าปิดการมองเห็น #slowed #phonk #top 
https://www.tiktok.com/@ness_opo/video/7288348840514653446,2023-10-10 18:15:54,63,1011,99,2,1,14,#🎧 #NesS🎧🎵 #ness_opo #bassboosong #headphones #aveeplayer #อย่าปิดการมองเห็น #slowed #phonk #top 
https://www.tiktok.com/@ness_opo/video/7288346325505150214,2023-10-10 18:06:09,13,1038,112,3,1,18,#🎧 #NesS🎧🎵 #ness_opo #bassboosong #headphones #aveeplayer #อย่าปิดการมองเห็น #slowed #phonk #top 
https://www.tiktok.com/@ness_opo/video/7287938323664964870,2023-10-09 15:42:54,66,5471,400,0,1,41,#🎧 #ness_opo #NesS🎧🎵 #bassboosong #headphones #aveeplayer #อย่าปิดการมองเห็น #slowed #phonk #top 
